,일자,코스피,코스피200,S&P500,금값,나스닥,넷플릭스,물가지수,상해종합,주택매매가격지수,통화량(십억원),무담보콜금리 전체,담보콜금리전체,CD(91일),국고채(3년),"회사채(3년, AA-)",니케이,실업률,미국달러환율,중국위안환율,일본100엔환율,유로,WTI유가전처리,필라델피아반도체
0,2002-05-01,844.7781818181818,105.9768181818182,1067.14,326.55,1660.3109130859375,1.1358335216840107,78.37,1577.1946614583333,46.91,812805.7,4.26,0.0,4.81,6.3,7.07,11709.62341889881,3.1,1266.06,0.0,1001.56,1160.82,25.31,476.3
1,2002-06-01,785.7472222222223,98.73833333333332,989.82,314.45,1505.4884887695312,1.0380714029073714,77.87,1562.7794494628906,47.118,822108.1,4.31,0.0,4.85,5.93,6.76,10965.8759765625,2.9,1223.47,0.0,993.12,1169.42,26.86,387.6
2,2002-07-01,754.2576190476191,94.7747619047619,911.62,303.55,1346.0854547674005,1.1100000928748737,77.65,1695.6993302055027,47.574,827976.6,4.29,0.0,4.91,5.7,6.59,10352.265242866848,3.0,1185.12,0.0,1003.88,1175.59,27.02,330.9
3,2002-08-01,712.8242857142857,89.50047619047619,916.07,312.75,1327.3604625355113,0.8709739555012096,77.75,1660.5730535333807,48.402,831521.4,4.31,0.0,4.8,5.37,6.23,9751.20458984375,3.2,1196.37,0.0,1004.44,1170.0,28.98,300.2
4,2002-09-01,705.708,88.29350000000001,815.28,323.55,1251.0690063476563,0.8280714511871338,77.91,1619.5807067871094,49.563,842512.0,4.33,0.0,4.81,5.37,6.06,9354.008429276317,2.7,1208.5,0.0,1001.56,1184.33,30.45,238.2
5,2002-10-01,644.9040909090909,80.845,885.76,317.75,1241.9121783712635,0.5602173960727194,78.01,1527.1596069335938,49.811,853092.8,4.33,0.0,4.91,5.39,6.01,8792.495427911932,2.8,1241.13,0.0,1001.05,1217.23,27.22,295.1
6,2002-11-01,678.2038095238096,86.1004761904762,936.31,318.15,1409.1510009765625,0.6841785997152329,78.17,1464.7899576822915,49.853,868756.6,4.31,0.0,4.91,5.29,5.9,8700.328857421875,2.9,1211.91,0.0,997.21,1214.16,26.89,373.5
7,2002-12-01,701.9963157894737,88.8578947368421,879.82,348.05,1387.1519077845985,0.7923129995663961,78.18,1401.165000221946,49.936,875405.5,4.33,0.0,4.9,5.28,5.88,8692.9435546875,3.1,1208.91,0.0,991.85,1232.05,31.2,289.2
8,2003-01-01,633.2242857142857,80.28714285714285,855.7,368.15,1389.5595179966515,0.8511224843206859,78.77,1428.1662536621093,49.894,880250.7,4.3,0.0,4.7,4.96,5.48,8570.733655427632,3.7,1179.27,0.0,993.28,1251.13,33.51,271.7
9,2003-02-01,592.886,75.0315,841.15,349.95,1313.2615774054275,0.9924436305698596,79.19,1501.5376627604169,50.143,883643.0,4.32,0.0,4.54,4.73,5.25,8538.473684210527,3.8,1191.19,0.0,996.78,1283.12,36.6,297.6
